Date,Open,High,Low,Close,Adj Close,Volume
2009-06-25,2.252500,2.420833,2.252500,2.411111,2.362003,1288800
2009-06-26,2.390556,2.426111,2.354722,2.398611,2.349758,6552000
2009-06-29,2.416667,2.472222,2.382778,2.466667,2.416426,4345200
2009-06-30,2.466667,2.486667,2.352778,2.407778,2.358737,8564400
2009-07-01,2.436944,2.505833,2.427222,2.433611,2.384045,6019200
2009-07-02,2.338611,2.339722,2.231945,2.232778,2.187302,14637600
2009-07-06,2.171111,2.241389,2.148611,2.238889,2.193289,11286000
2009-07-07,2.228055,2.233611,2.099444,2.099444,2.056684,14508000
2009-07-08,2.140278,2.153056,2.027778,2.101944,2.059134,24912000
2009-07-09,2.138889,2.163333,2.092500,2.115000,2.071923,22946400
2009-07-10,2.077222,2.131389,2.052778,2.094722,2.052058,25599600
2009-07-13,2.120000,2.251389,2.070000,2.247778,2.201997,21837600
2009-07-14,2.270555,2.293889,2.220556,2.293889,2.247168,19350000
2009-07-15,2.378056,2.504722,2.368889,2.490000,2.439285,18460800
2009-07-16,2.465000,2.585000,2.452500,2.556667,2.504594,23198400
2009-07-17,2.549167,2.569444,2.508055,2.552222,2.500240,13687200
2009-07-20,2.603889,2.650278,2.562500,2.629722,2.576162,18597600
2009-07-21,2.697778,2.702500,2.578333,2.673333,2.618885,22618800
2009-07-22,2.621667,2.719167,2.617222,2.668333,2.613986,18817200
2009-07-23,2.676389,2.883333,2.674167,2.845556,2.787599,27511200
2009-07-24,2.800000,2.888056,2.763056,2.882778,2.824064,30063600
2009-07-27,2.873889,2.913333,2.821389,2.907222,2.848010,22467600
2009-07-28,2.848056,2.910000,2.795278,2.882500,2.823790,23238000
2009-07-29,2.827222,2.871111,2.788333,2.844167,2.786238,27954000
2009-07-30,2.953056,3.035278,2.929722,2.933056,2.873317,27943200
2009-07-31,2.936111,3.007222,2.909722,2.941667,2.881753,27435600
2009-08-03,3.045833,3.100833,2.993889,3.089722,3.026793,19800000
2009-08-04,3.051944,3.130556,3.033889,3.119444,3.055909,17492400
2009-08-05,3.126945,3.131667,3.013611,3.097222,3.034139,31284000
2009-08-06,3.135833,3.145278,3.000000,3.039167,2.977267,34624800
2009-08-07,3.140278,3.236944,3.088611,3.159722,3.095367,22021200
2009-08-10,3.118889,3.162778,3.076389,3.137778,3.073869,23256000
2009-08-11,3.101389,3.105000,3.000000,3.018333,2.956857,24364800
2009-08-12,3.005833,3.189722,3.005833,3.123333,3.059719,35895600
2009-08-13,3.166667,3.196944,3.074722,3.193889,3.128837,50356800
2009-08-14,3.196389,3.196389,3.016389,3.117500,3.054005,36057600
2009-08-17,2.939167,2.945278,2.871667,2.885833,2.827056,42069600
2009-08-18,2.911389,2.986667,2.892778,2.965000,2.904610,26715600
2009-08-19,2.885833,3.063611,2.881389,3.033056,2.971280,30841200
2009-08-20,3.040555,3.148611,3.027778,3.132222,3.068427,25786800
2009-08-21,3.205278,3.328056,3.188056,3.307222,3.239862,30758400
2009-08-24,3.351389,3.406667,3.276667,3.306667,3.239318,30153600
2009-08-25,3.352222,3.426111,3.310278,3.328611,3.260816,42822000
2009-08-26,3.299722,3.377500,3.268889,3.327778,3.260000,41972400
2009-08-27,3.321389,3.385000,3.214722,3.358611,3.290205,55652400
2009-08-28,3.435278,3.446111,3.283056,3.346667,3.278504,42440400
2009-08-31,3.251389,3.270833,3.201389,3.264444,3.197955,51634800
2009-09-01,3.216111,3.333333,3.026667,3.041389,2.979444,68752800
2009-09-02,3.007222,3.066389,2.987500,3.012500,2.951143,33692400
2009-09-03,3.061667,3.095556,2.991111,3.079167,3.016452,26550000
2009-09-04,3.103055,3.216667,3.076944,3.213889,3.148430,31633200
2009-09-08,3.307500,3.308889,3.246667,3.298333,3.231155,31867200
2009-09-09,3.316944,3.408056,3.286111,3.375833,3.307076,27212400
2009-09-10,3.378611,3.483889,3.326389,3.478611,3.407761,32371200
2009-09-11,3.496667,3.528333,3.427778,3.473611,3.402862,33066000
2009-09-14,3.386389,3.543611,3.386389,3.532222,3.460280,28080000
2009-09-15,3.546111,3.610833,3.475556,3.572500,3.499737,38440800
2009-09-16,3.607500,3.734167,3.572778,3.731111,3.655118,35780400
2009-09-17,3.721389,3.810000,3.656111,3.713333,3.637702,48164400
2009-09-18,3.766667,3.767500,3.690278,3.724167,3.648315,43934400
2009-09-21,3.636389,3.721667,3.614444,3.692778,3.617565,29062800
2009-09-22,3.761667,3.789167,3.711111,3.762222,3.685596,28224000
2009-09-23,3.787778,3.858333,3.646111,3.661389,3.586816,54482400
2009-09-24,3.689167,3.709167,3.495833,3.541389,3.470919,49428000
2009-09-25,3.517500,3.574167,3.448889,3.486944,3.417557,46148400
2009-09-28,3.523611,3.694444,3.523611,3.668611,3.595609,31003200
2009-09-29,3.693056,3.743333,3.615833,3.647778,3.575191,37742400
2009-09-30,3.680278,3.683889,3.497222,3.599722,3.528092,69984000
2009-10-01,3.573333,3.573333,3.326667,3.327500,3.261286,48999600
2009-10-02,3.233611,3.339167,3.232500,3.290555,3.225077,44949600
2009-10-05,3.320833,3.455833,3.290833,3.428056,3.359841,24753600
2009-10-06,3.502778,3.633333,3.499167,3.578889,3.507672,36892800
2009-10-07,3.549722,3.616389,3.532778,3.606389,3.534626,27640800
2009-10-08,3.685833,3.743611,3.640833,3.693611,3.620112,37036800
2009-10-09,3.691944,3.753611,3.663889,3.752778,3.678101,16578000
2009-10-12,3.810278,3.840278,3.756667,3.801111,3.725473,14670000
2009-10-13,3.766944,3.794722,3.700833,3.780833,3.705599,34099200
2009-10-14,3.907222,3.981945,3.858889,3.973056,3.893996,39006000
2009-10-15,3.914444,4.011389,3.906667,4.008889,3.929116,45428400
2009-10-16,3.914722,3.962778,3.849722,3.923056,3.844991,45691200
2009-10-19,3.941667,4.055555,3.907500,4.020000,3.940005,38606400
2009-10-20,4.039444,4.039444,3.897500,3.960278,3.881472,43588800
2009-10-21,3.932222,4.072778,3.840833,3.851944,3.775295,38847600
2009-10-22,3.844445,4.000000,3.769444,3.961944,3.883106,37843200
2009-10-23,4.005833,4.008611,3.780000,3.830278,3.754059,57596400
2009-10-26,3.839722,3.957500,3.671389,3.695278,3.621745,44269200
2009-10-27,3.718055,3.752500,3.626945,3.650278,3.577641,48697200
2009-10-28,3.623889,3.653611,3.437500,3.445555,3.376992,48884400
2009-10-29,3.518055,3.685555,3.498889,3.664167,3.591253,56041200
2009-10-30,3.638056,3.661111,3.334167,3.351389,3.284700,109116000
2009-11-02,3.400556,3.526111,3.299167,3.419445,3.351401,100245600
2009-11-03,3.361111,3.466944,3.345278,3.453056,3.384343,75830400
2009-11-04,3.538889,3.618333,3.453889,3.471389,3.402312,78206400
2009-11-05,3.550555,3.672500,3.532222,3.668333,3.595337,38966400
2009-11-06,3.603611,3.728055,3.588611,3.704167,3.630458,62679600
2009-11-09,3.789444,3.953889,3.777778,3.952778,3.874122,39171600
2009-11-10,3.925555,3.991667,3.888611,3.949445,3.870854,64198800
2009-11-11,4.031667,4.087778,3.958333,4.015278,3.935379,77904000
2009-11-12,3.998333,4.061944,3.861944,3.887500,3.810143,82702800
2009-11-13,3.923611,4.005833,3.864167,3.958333,3.879567,35064000
2009-11-16,4.038611,4.179722,4.031389,4.127500,4.045368,48492000
2009-11-17,4.097500,4.145833,4.050556,4.142500,4.060069,38041200
2009-11-18,4.134444,4.152222,4.058055,4.136944,4.054623,37515600
2009-11-19,4.050556,4.054722,3.897222,3.974444,3.895357,38012400
2009-11-20,3.911111,3.964722,3.883889,3.939167,3.860781,29286000
2009-11-23,4.071111,4.167222,4.056111,4.085278,4.003987,39074400
2009-11-24,4.096667,4.113611,3.998055,4.095833,4.014330,44406000
2009-11-25,4.115556,4.154167,4.077778,4.138055,4.055713,31179600
2009-11-27,3.803611,4.020278,3.793611,3.938056,3.859692,34430400
2009-11-30,3.925555,3.998611,3.877778,3.981111,3.901891,58334400
2009-12-01,4.087222,4.165000,4.063334,4.111945,4.030122,41918400
2009-12-02,4.123611,4.204167,4.082778,4.123611,4.041556,50508000
2009-12-03,4.153056,4.222222,4.012222,4.025278,3.945178,51422400
2009-12-04,4.183611,4.240000,3.984167,4.088889,4.007524,82767600
2009-12-07,4.080000,4.146945,4.034444,4.070000,3.989011,37828800
2009-12-08,3.990278,4.005556,3.900556,3.941667,3.863231,40269600
2009-12-09,3.932222,3.996389,3.872778,3.975556,3.896446,45885600
2009-12-10,4.052778,4.097222,4.026945,4.044722,3.964237,35863200
